fpr,tpr,threshold
0.0,0.0,inf
0.0,0.001,0.920078056764029
0.0,0.031,0.869787931218109
0.001,0.031,0.8683177319963856
0.001,0.039,0.8597543591484758
0.002,0.039,0.8587478128140412
0.002,0.052,0.8512026333628925
0.003,0.052,0.849965954726452
0.003,0.059,0.8462944672071679
0.004,0.059,0.8449309276555641
0.004,0.062,0.8437911521288949
0.005,0.062,0.8435406070681448
0.005,0.075,0.839300565926696
0.006,0.075,0.8371174041309266
0.006,0.08,0.8344223573685342
0.009,0.08,0.8335133159073544
0.009,0.099,0.828673353071628
0.011,0.099,0.8283408178701871
0.011,0.1,0.8278401602558738
0.012,0.1,0.8275871759021184
0.012,0.106,0.8268269081188893
0.014,0.106,0.825380087991897
0.014,0.107,0.825130717639502
0.015,0.107,0.824957429695116
0.015,0.109,0.824704642614104
0.015,0.111,0.823828383765139
0.016,0.111,0.8236369628276523
0.016,0.112,0.8235837816081907
0.017,0.112,0.8235236234379234
0.017,0.124,0.8215677922198005
0.018,0.124,0.8214128384711239
0.018,0.134,0.8203196763910121
0.02,0.134,0.8200436785376091
0.02,0.137,0.8193631700899506
0.021,0.137,0.8193417428342076
0.021,0.139,0.8192322245266122
0.022,0.139,0.8190654005109818
0.022,0.145,0.8179846631272957
0.025,0.145,0.8177563034916581
0.025,0.147,0.8176113348325965
0.026,0.147,0.8171744674742175
0.026,0.156,0.8160693558383265
0.026,0.158,0.81605809663191
0.028,0.158,0.8160030080983744
0.028,0.16,0.8159499867937051
0.029,0.16,0.8159049171772181
0.029,0.166,0.8155471445976329
0.03,0.166,0.8153785030865074
0.03,0.175,0.8146445238654841
0.03,0.177,0.814638947851823
0.031,0.177,0.8146338494003817
0.031,0.182,0.8143051863383193
0.032,0.182,0.8143041304292468
0.032,0.183,0.814207768407227
0.033,0.183,0.8142014400210097
0.033,0.187,0.8139384844459102
0.034,0.187,0.813924362692231
0.034,0.197,0.8129532340413621
0.035,0.197,0.8127589726969549
0.035,0.21,0.8120642807080386
0.037,0.21,0.8118889705548257
0.037,0.215,0.8116423419880936
0.038,0.215,0.8115395492671313
0.038,0.231,0.8111286207593545
0.039,0.231,0.8111250385724543
0.039,0.233,0.8110590540017806
0.04,0.233,0.8109967400132186
0.04,0.237,0.8108171783845538
0.041,0.237,0.8107645666425717
0.041,0.239,0.8107524953878826
0.043,0.239,0.8106600394427176
0.043,0.246,0.8103546878265054
0.044,0.246,0.8103328858716814
0.044,0.248,0.8102482037389493
0.045,0.248,0.8102323480769994
0.045,0.25,0.8102036784465549
0.046,0.25,0.8101981805074217
0.046,0.251,0.8101737797433567
0.047,0.251,0.8101497555867263
0.047,0.252,0.8101290401510896
0.048,0.252,0.810028872855497
0.048,0.261,0.8095180130986592
0.049,0.261,0.8094602213054918
0.049,0.264,0.8093626262330241
0.05,0.264,0.8092980855425538
0.05,0.266,0.8092857725156171
0.051,0.266,0.8092331004611032
0.051,0.276,0.8088579538258179
0.052,0.276,0.808765442777284
0.052,0.277,0.8087554630818553
0.053,0.277,0.8086202513575784
0.053,0.283,0.8081333241905072
0.054,0.283,0.8080956785572851
0.054,0.292,0.8079228052640882
0.055,0.292,0.8078875843680036
0.055,0.299,0.8074234905410713
0.056,0.299,0.8073318280287489
0.056,0.303,0.807180474382034
0.059,0.303,0.8071169006462543
0.059,0.304,0.8071066411982637
0.06,0.304,0.8070821961560427
0.06,0.307,0.807062830578447
0.061,0.307,0.8070425981738649
0.061,0.308,0.8069970426684477
0.062,0.308,0.8068864212892485
0.062,0.31,0.8068625879357807
0.064,0.31,0.8068356585599612
0.064,0.311,0.8067886396260192
0.065,0.311,0.8066610974866661
0.065,0.315,0.8065205812945933
0.066,0.315,0.8064727291250537
0.066,0.32,0.8062096298159167
0.068,0.32,0.8061229144088435
0.068,0.321,0.8060402410512544
0.069,0.321,0.8060277193912215
0.069,0.328,0.805830565347737
0.07,0.328,0.8057435082117228
0.07,0.329,0.8057048740474206
0.071,0.329,0.8056780581194467
0.071,0.331,0.8055985873138966
0.072,0.331,0.8055401552839573
0.072,0.344,0.8049728113673187
0.073,0.344,0.804925351530325
0.073,0.345,0.8048387723660793
0.074,0.345,0.8047576017369792
0.074,0.349,0.8046830537430306
0.075,0.349,0.804660455129322
0.075,0.352,0.8045478497041381
0.076,0.352,0.8045439598633792
0.076,0.367,0.8041449612354873
0.077,0.367,0.8040845598502194
0.077,0.368,0.8040826616980029
0.079,0.368,0.8040384056523074
0.079,0.373,0.8036565556502662
0.08,0.373,0.803648072228909
0.08,0.385,0.8031662483736004
0.081,0.385,0.8031618903469775
0.081,0.389,0.8029224377267413
0.082,0.389,0.8029149433030908
0.082,0.393,0.8027580790461902
0.083,0.393,0.8026627355136736
0.083,0.403,0.8021935549586785
0.084,0.403,0.802191845768511
0.084,0.404,0.8021773017525543
0.085,0.404,0.8021675973167728
0.085,0.405,0.8021432278390436
0.086,0.405,0.8021331383650264
0.086,0.407,0.8020598797135589
0.087,0.407,0.8020433746876525
0.087,0.418,0.8017789411542088
0.088,0.418,0.801771261811616
0.088,0.419,0.8017544163676411
0.089,0.419,0.8017473508102846
0.089,0.422,0.8016688554599146
0.09,0.422,0.8016636514617789
0.09,0.431,0.8013010368942906
0.092,0.431,0.8012348567964336
0.092,0.449,0.8004842320376674
0.093,0.449,0.800461789091793
0.093,0.451,0.8003898623444127
0.095,0.451,0.8003191934037445
0.095,0.452,0.8002727290111696
0.096,0.452,0.800248819493739
0.096,0.453,0.8002346334456175
0.097,0.453,0.8001138970692797
0.097,0.469,0.7994590246475061
0.098,0.469,0.7994255778353025
0.098,0.481,0.7989093603962537
0.099,0.481,0.7988700309962549
0.099,0.488,0.798689644163452
0.1,0.488,0.7985064007983472
0.1,0.489,0.7984790363816313
0.101,0.489,0.7983780836142271
0.101,0.496,0.7982295188133166
0.102,0.496,0.798222865683757
0.102,0.497,0.7981649588578598
0.103,0.497,0.7981366428803414
0.103,0.499,0.7979911265252435
0.104,0.499,0.7979698422980654
0.104,0.501,0.7978904421785217
0.105,0.501,0.797822836442224
0.105,0.502,0.7977724834919393
0.106,0.502,0.7977630478601117
0.106,0.51,0.7975716665958579
0.108,0.51,0.7974927233827893
0.108,0.525,0.7970940216163142
0.11,0.525,0.7970488954861829
0.11,0.529,0.7969640362669075
0.111,0.529,0.7969310443937572
0.111,0.532,0.7968934374110269
0.114,0.532,0.7968156334449104
0.114,0.533,0.7967632476224379
0.115,0.533,0.7967513908302669
0.115,0.541,0.7966283781681209
0.115,0.543,0.7965493496529639
0.116,0.543,0.7965421532758183
0.116,0.546,0.7963767768446919
0.117,0.546,0.7962472159717494
0.117,0.552,0.7959890210544608
0.118,0.552,0.7959643020927804
0.118,0.554,0.7959502802073126
0.119,0.554,0.7958915400171369
0.119,0.559,0.7957528989102728
0.12,0.559,0.7957042244504555
0.12,0.572,0.7953271574654279
0.121,0.572,0.7952784658366215
0.121,0.576,0.7951201235328245
0.122,0.576,0.7950983701995881
0.122,0.579,0.7950012920234047
0.123,0.579,0.794985878636297
0.123,0.58,0.7949050835200447
0.124,0.58,0.7948530424140798
0.124,0.584,0.7947513241989577
0.125,0.584,0.7947434544641755
0.125,0.588,0.7946186136881669
0.127,0.588,0.7945753259369418
0.127,0.59,0.7945587912124265
0.128,0.59,0.7945541873270785
0.128,0.592,0.7944253702093518
0.129,0.592,0.7944110297924343
0.129,0.594,0.7943876790162974
0.13,0.594,0.7943578947763679
0.13,0.596,0.7943334796401271
0.13,0.601,0.7941971117900778
0.131,0.601,0.7941531424435513
0.131,0.605,0.794053169322474
